,first_page_exposure,stars,polarity,subjectivity,GunningFog,ReadingTime,activity_group,ease_group,feeling_group,food_group,judgement_group,location_group,misc_group,price_group,service_group,time_group,venue_group,helpfulness_prob
82260,97.3228819440119,4.0,0.9942,0.5948853615520283,5.73,11.94,1,0,0,4,17,4,0,0,2,1,5,0.6371786527161909
85239,259.2976504629478,5.0,0.9623,0.4856666666666667,9.28,4.51,0,0,0,1,3,0,0,0,1,1,0,0.4136158444860095
183392,-1818.1487384261563,1.0,-0.9403,0.49375,6.07,2.84,0,0,0,0,0,2,0,1,0,0,1,0.4260931598156081
77019,84.34912037057802,3.0,-0.3612,0.5281565656565657,5.09,6.73,3,0,0,0,3,1,1,1,0,4,4,0.46044726439310724
198716,131.95369212934747,5.0,0.9565,0.3682823129251701,8.97,6.79,4,1,0,0,3,0,0,1,2,0,0,0.4416867628072296
1549,409.8188425926492,1.0,0.8591,0.5350446428571429,6.38,9.72,2,0,0,0,3,3,3,2,1,3,6,0.5906002894222431
75041,-3162.5269675925374,1.0,-0.3939,0.51,8.48,6.07,1,0,0,0,1,2,0,1,1,1,3,0.38012954250289044
119947,353.2449537040666,2.0,-0.0057,0.3699404761904761,9.4,7.51,5,0,1,0,1,1,4,0,0,0,0,0.5277815974601059
158931,23.3994212965481,5.0,0.9337,0.5833333333333334,3.95,2.89,0,0,2,0,0,3,0,4,1,0,0,0.49535585483094463
212799,-3239.062858796213,1.0,-0.5875,0.4821428571428571,13.56,5.32,2,0,0,0,4,1,0,0,1,1,2,0.3451725108151528
42662,-2499.7415625001304,5.0,0.9709,0.6945454545454545,8.81,4.23,1,0,1,1,2,0,0,1,1,1,2,0.25793566003320306
98580,-2342.802511574235,1.0,-0.5719,1.0,5.8,1.72,0,0,0,0,0,1,0,0,0,0,0,0.31373306800638034
170372,194.02995370374992,4.0,0.9493,0.4906432748538011,6.13,13.18,1,0,1,0,5,3,3,2,0,0,2,0.6753784647773637
27985,-3315.022800926119,5.0,0.9779,0.7999999999999999,10.19,6.68,3,0,0,3,6,1,1,1,2,0,2,0.23361745965123723
190041,29.73978009261191,5.0,0.9584,0.4621031746031745,8.76,12.19,0,0,1,1,6,3,3,1,1,3,0,0.6089842478803161
216364,-417.6710300925188,5.0,0.9796,0.4916427934810289,8.35,20.21,11,1,0,3,14,0,3,0,0,2,6,0.5809363598331584
252873,35.82334490772337,5.0,0.988,0.813809523809524,7.57,8.46,3,0,0,0,8,1,1,0,1,0,0,0.46310370500784676
18760,-2304.72100694431,5.0,0.8696,0.6000000000000001,6.1,3.11,1,0,1,0,6,0,0,1,1,0,0,0.2869469869595226
228907,294.8237499999814,2.0,0.7096,0.4813492063492063,6.11,6.54,1,0,0,0,3,1,1,0,2,1,9,0.4419786592924396
7873,214.7918634256348,2.0,-0.128,0.3509803921568628,8.44,7.51,1,0,0,0,4,0,0,0,1,2,10,0.4752705522217284
100364,564.8918865742162,1.0,-0.8705,0.5402380952380952,9.96,6.89,1,0,0,0,2,1,1,0,2,1,5,0.527902920374726
134093,-997.6463194442912,1.0,0.4282,0.5007142857142857,11.85,14.82,5,0,0,0,4,3,1,3,4,1,0,0.6837868628560128
27236,79.34436342585832,5.0,0.9753,0.4155882352941176,11.15,10.44,0,0,0,0,5,0,0,0,0,4,2,0.5299690781045571
256288,13.399803240783513,5.0,0.9661,0.6606060606060606,6.87,6.58,3,0,1,0,8,0,1,0,0,2,5,0.3912446944827979
100409,334.4408796299249,5.0,0.9781,0.4916564661392247,8.37,12.65,2,2,1,2,8,3,1,0,1,6,2,0.605713955913081
137963,312.2952314815484,4.0,0.9783,0.6103918650793652,3.83,5.82,2,0,0,3,7,0,0,1,2,0,2,0.44967734811836024
27510,103.39445601822808,2.0,0.4466,0.5190255731922399,13.87,30.73,7,0,0,0,8,2,3,2,1,4,27,0.75373106353908
